Image,Caption,Time,Date,location,Address,contact_tags,holidays,birthdays
0001.jpg,a woman holds a sign in front of a fence in front of a building
0002.jpg,a person standing on a tile floor
0003.jpg,a garden with plants growing on the side of a building
0004.jpg,a painting of people on horses in a museum
0005.jpg,a group of people walking in the city at sunset
0006.jpg,a man and a woman laying on a bed
0007.jpg,two men sitting at a table
0008.jpg,a person holding a spoon with a dessert in it
0009.jpg,a poster on a table
0010.jpg,a 3d printed object is sitting on top of a table
0011.jpg,a person holding a receipt on a table
0012.jpg,a large circular light fixture hanging from the ceiling
0013.jpg,a man is sleeping on a chair while another man is sitting on a chair
0014.jpg,a circuit board with wires connected to it
0015.jpg,a man is giving a presentation on a screen
0016.jpg,a black umbrella laying on a table
0017.jpg,a robot with wheels and electronics on a table
0018.jpg,a red toy machine sitting on top of a table
0019.jpg,a sunset view from the balcony of a house
0020.jpg,a yellow frog sitting on a ledge
0021.jpg,a man wearing a hat on a bus
0022.jpg,a computer screen with a list of numbers on it
0023.jpg,a plate with some food on it and some bowls
0024.jpg,a computer monitor with a mouse and keyboard on it
0025.jpg,a laptop with a screen showing a clock
0026.jpg,a person wearing blue and pink sneakers on a bed
0027.jpg,a box containing a white and black box
0028.jpg,a stuffed animal sitting on a desk
0029.jpg,a computer monitor with a screen showing a screen
0030.jpg,a doll in a box on a desk
0031.jpg,a menu for a restaurant
0032.jpg,certificate of merit for the year 2018
0033.jpg,a chair with a pink cover
0034.jpg,a bowl of fries and a bowl of ketchup
0035.jpg,a painting of a man in a suit and tie
0036.jpg,hp pavilion dv6-1020us laptop
0037.jpg,a person walking down a street at night
0038.jpg,a computer screen with a programming language on it
0039.jpg,a woman sitting on a chair with a box of pills next to her
0040.jpg,a bird nest is hanging from the ceiling of a house
0041.jpg,a receipt that is being held by a person
0042.jpg,a computer screen showing a diagram of a tool
0043.jpg,a plate of food on a table
0044.jpg,a man in a black shirt and jeans standing in an elevator
0045.jpg,a large circular glass window
0046.jpg,a motorcycle parked in front of a building
0047.jpg,people standing in front of a large sign that says vw22
0048.jpg,a keyboard and mouse sitting on top of a box
0049.jpg,nighttime shot of a park with a playground and a playground swing
0050.jpg,a woman and a child standing on a hill overlooking a city
0051.jpg,a car parked on the side of a road at night,20:45:35,05 August 2022,"23.17338888888889, 72.64654722222222","BAPS Swaminarayan Vidyamandir Raysan, Randesan Road, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0052.jpg,a computer keyboard sitting on top of a brown couch,16:58:23,11 August 2022,"23.173419444444445, 72.64650555555556","BAPS Swaminarayan Vidyamandir Raysan, Randesan Road, Gandhinagar, Gandhinagar Taluka, Gandhinagar District, Gujarat, 382007, India",None,None,None
0053.jpg,a laptop computer sitting on top of a wooden desk,11:36:21,14 August 2022,"21.128030555555554, 81.76399722222222","International Institute Of Information Technology Naya Raipur, NH30, Atal Nagar-Nava Raipur, Abhanpur Tahsil, Raipur District, Chhattisgarh, 493661, India",None,None,None
